processo,ano,tribunal,comarca,autor_tipo,reu,setor,resultado,ganhou_autor,valor_condenacao,n_chars
0000002-56.2021.8.17.2500,2021,TJPE,Gravatá,PESSOA FÍSICA,BRADESCO SAUDE,Plano de saúde,IMPROCEDENTE,False,,12448
0000010-25.2015.8.18.0072,2015,TJPI,São Pedro do Piauí,PESSOA FÍSICA,BANCO DO BRASIL,Banco e financeira,IMPROCEDENTE,False,,6902
0000010-58.2020.8.17.8226,2020,TJPE,,,,,PROCEDENTE,True,4315.65,3474
0000010-67.2021.8.17.3200,2021,TJPE,Rio Formoso,PESSOA FÍSICA,CELPE-COMPANHIA ENERGETICA DE PERNAMBUCO,Energia,PROCEDENTE,True,3000.0,18758
0000012-63.2022.8.17.8224,2022,TJPE,,,,,,,,781
0000014-89.2019.8.17.3260,2019,TJPE,Santa Maria da Boa Vista,PESSOA FÍSICA,NEONERGIA PERNAMBUCO - CIA ENERGETICA DE PERNAMBUCO,Energia,IMPROCEDENTE,False,4000.0,11182
0000019-54.2024.8.17.8234,2024,TJPE,,PESSOA FÍSICA,GOL LINHAS AEREAS,Transporte aéreo,EXTINTO SEM MÉRITO,False,,1897
0000026-18.2020.8.17.3180,2020,TJPE,Riacho das Almas,PESSOA FÍSICA,BANCO BRADESCO,Banco e financeira,PARCIALMENTE PROCEDENTE,True,,7751
0000027-98.2014.8.10.0143,2014,TJMA,Morros,PESSOA FÍSICA,,,IMPROCEDENTE,False,,8852
0000030-35.2023.8.17.8229,2023,TJPE,Palmares,,,,IMPROCEDENTE,False,,10742
0000032-06.2017.8.18.0075,2017,TJPI,Simplício Mendes,PESSOA FÍSICA,BANCO DO BRASIL,Banco e financeira,PROCEDENTE,True,,7325
0000033-40.2024.8.17.8201,2024,TJPE,,,,,EXTINTO SEM MÉRITO,False,,1282
0000043-13.2018.8.10.0143,2018,TJMA,Morros,PESSOA FÍSICA,,,PROCEDENTE,True,7000.0,8717
0000048-56.2014.8.17.8234,2014,TJPE,,,,,ACORDO HOMOLOGADO,,,1749
0000051-76.2016.8.10.0040,2016,TJMA,,,,,PARCIALMENTE PROCEDENTE,True,5000.0,11693
0000063-34.2014.8.18.0074,2014,TJPI,Simões,PESSOA FÍSICA,MUNICIPIO DE CARIDADE DO PIAUI,Poder público,IMPROCEDENTE,False,,13864
0000065-46.2024.8.17.8233,2024,TJPE,,,,,PARCIALMENTE PROCEDENTE,True,,7991
0000068-60.2022.8.17.8236,2022,TJPE,,,,,EXTINTO SEM MÉRITO,False,,2754
0000080-26.2024.8.17.4220,2024,TJPE,Arcoverde,,OLX ATIVIDADES DE INTERNET,Outros,IMPROCEDENTE,False,,7731
0000080-67.2023.8.17.8227,2023,TJPE,,,,,IMPROCEDENTE,False,,3710
0000088-76.2015.8.18.0053,2015,TJPI,Guadalupe,PESSOA FÍSICA,A. S. E SILVA BARROSO,Outros,PROCEDENTE,True,10000.0,7338
